,jobs/job_title,skills,job_description
16057,Security Operations Manager,"Budgets,Business Development,Change Management,Customer Service,Leadership,Logistics,Management,Microsoft Office,Negotiation,Operations Management,Process Improvement,Program Management,Project Management",define implement security operations framework liquid group including security operations role definitions monitoring incident event management access management overall security architecture working infra management implement appropriate segregation duties compliance standards industry best practices create promote security culture throughout organization define implement document conduct reviews group 's information security policies procedures information security risk management project risk management change management accountable group 's information security policies procedures among employees contractors partner 3rd parties report security policies lapses work lines business vendors application infrastructure teams software development life cycle ensure sufficient security controls place meet group 's information security policies guidelines experience applying risk management practices operational environment include audit procedures controls systems hardening perform information security risk assessments serve internal auditor information security processes review system related information security plans throughout organization 's network
16060,Regional Program Manager,"Analysis,Business Analysis,Business Development,Change Management,Cross-functional Team Leadership,Integration,Leadership,Management,Process Improvement,Product Development,Product Management,Program Management,Project Management",get know role program manager lead key regional projects grab singapore role part regional maps content ops team chartered identify areas improvement processes across geo content launch pilots test work tools teams create automation opportunities improve efficiencies relevant
16061,"Executive, IT","Active Directory,Business Analysis,CRM,ERP,IT Management,IT Service Management,ITIL,JavaScript,Leadership,Management,Microsoft SQL Server,Network Administration,Networking",perform support office vessel users resolve technical problem involving hardware software network issue provide phone email support overseas vessel users software installation hardware deployment hardware equipment assist system administrator maintenance system infrastructure terms network systems minimum acceptable downtime backup system engineer leave duties assigned management
16081,Data Technical Support Engineer,"Cabling,Cisco Technologies,Cloud Computing,Data Center,Disaster Recovery,Infrastructure,IP,IT Operations,ITIL,Networking,Project Management,SAN,Servers",1st level support transmission voip services switching equipment manage ticket queue responsibility issues provide technical support emails tickets phone manage network systems internal issues responsible support maintenance tracking documentation verification arrange roster shift team members
16084,CRM Consultant (Siebel),".NET,Agile Methodologies,C#,C++,Databases,Integration,Java,JavaScript,Linux,Microsoft SQL Server,Requirements Analysis,Scrum,SDLC",siebel crm consultant implementation support
16088,Teradata SME,"Analysis,Biotechnology,Business Analysis,Customer Service,EHR,EMR,Healthcare,Healthcare Information Technology,Hospitals,Integration,Lifesciences,Management,Medical Devices",designs develops supports application solutions focus teradata business analytics solutions role may design develop engineer highly complex application components integrate software packages programs reusable objects multiple platforms installs upgrades teradata software related products implements maintains database security sets maintains documentation standards supports multiple teradata systems including independent marts enterprise warehouse
16092,Project Manager - VisionPLUS,"Business Analysis,Business Intelligence,Business Process Improvement,Change Management,Integration,IT Management,IT Strategy,ITIL,Management,MS Project,PMP,Process Improvement,Program Management",position summary project manager provide project management support assigned change requests designated project manager work sales client industry compliance teams defining project scope client closely teams identifies key development components effort project manager 's key role organise required resources internal external service providers undertake delivery project request client 's satisfaction within required timeframes budget project manager works part project team involved project point establishment sign implementation extensive interaction internal suppliers business analysts testing team well extensive liaison clients vendors business partners project manager required solid working understanding cards industry business operations typical project lifecycle project manager could required work closely software developers assigned platform ensure clients requirements met testing team sit uat plan execute appropriate testing project manager called upon work technical experts producing requirements documents external clients include traditional technologies new technologies remain key contact client defining deliverables life project project manager expected work new technologies business concepts may outside traditional cards processing domain may include new ways delivering transactions via internet xml 3rd party software packages connectivity techniques advances made schemes chip card 3d secure project manager must display level independence undertaking work meet agreed schedules deadlines seeking assistance management team members required
16099,Cloud Solution Architect,"Agile Methodologies,Architecture,Business Analysis,Business Intelligence,Cloud Computing,Enterprise Architecture,Enterprise Software,Integration,IT Strategy,Oracle,Pre-sales,Project Management,Requirements Analysis",role cloud solution architect csa essential able make conversion business requirements architecture design become blueprint cloud solution created conversion based largely upon standard design patterns global seamless services csa involved within past reading staying abreast latest techniques personal experience blueprint part pre sales activities define quotation serves basis deployment control resources maintain structured plan execution report escalate deployment phase experiences structured hand procedures operations including solid acceptance criteria typically 5 10 years experience completely designed least 3 significant detailed infrastructure projects
16100,System Administrator,"Active Directory,Apache,Data Center,Disaster Recovery,DNS,Linux,Microsoft Exchange,MySQL,Network Administration,Networking,Operating Systems,Security,Servers",install configure well maintain storage hardware backup inclusive physical plus virtual tape libraries drives along disk storage targets ensure install well configure netbackup customer software unix linux well windows systems maintains monitor storage system organization library storage capacity backup environment perform activities related install configure managing san devices administer switches execute across site replication significant dr data supervise volume replication overnight jobs execute improvements collaborate dba well ops assure apt storage usage
16101,Staff Network Engineer,"AutoCAD,C,C++,Engineering,Integration,Java,Linux,Management,Manufacturing,Matlab,Microsoft Office,Product Development,Program Management",lead take ownership troubleshooting resolving complex 2nd level network related problems coordinate resources necessary serve escalation point 1st level operational teams respond resolve ip network issues within timeframe severity level agreements observe identify trends recurring problem provide resolution prevent recurrence deploy client solutions network design implementations support aspects network management process assuring requests implementation problems delivered required impact global communications environment take initiative proactively discover potential network impacts lead take ownership problem resolution root cause analysis participate tasks related change incident problem management mentor coach junior network support engineer document create maintain operational run books based best practice knowledge experience gained day day operations continuous operational improvement conduct internal technical briefing training network operations team deploy document changes accordance problem change management process participate full implementation projects ensure documentation standards adhered complete projects objectives within timelines lead ensure new implementations designs operationally communicate customers resolution root cause resulting outage service interruption perform effective approach restore recover configurations logical physical maintain service integrity ability write fluently communicate senior management non technical terms candidate expected call duty work weekends rotational basis team members
16102,Senior SAP HCM Consultant,"ABAP,Business Analysis,Business Process,ECC,ERP,IDOC,Integration,Inventory Management,Materials Management,Requirements Analysis,SAP,SAP BW,SAP ERP",project delivery able work alone functional consultant
16103,"Contract Senior, UI / UX Design Manager, Institutional Banking Group Technology, T&O (WD04887)","Agile Methodologies,CSS,Customer Service,Databases,HTML,Integration,Java,JavaScript,Leadership,Linux,Management,Microsoft Office,MySQL",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels responsibilities day day basis provide support project team leads within program candidate responsible ensuring coordination design activities delivering project deliverables related ui ux design work candidates may required work across various projects within program candidate also take time balance execution design also business aspects well direct ui ux multiple points product 's timeline deliver user experience vision together plan product 's evolution includes interactive updates come together larger vision product work together various leads within program implement experience efficient well informed establish standards guidelines serve foundation creating cohesive experiences advocate user centric design lead discussions user research visual design understand business needs complex interactions understandable solutions importantly need team player strong communication collaboration skills act interface technology teams business end users liaise system developers system development life cycle ensure common understanding assist day day project activities ensure document activities monitored completed time support project managers provide weekly status updates track project schedule assist preparation training materials user guide assist product owner development user guides manuals
16110,IT Onsite Support Engineer (Linux),"Active Directory,Data Center,Integration,ITIL,Java,Linux,Microsoft SQL Server,MySQL,Networking,PHP,Project Management,Servers,Software Development",position summary role onsite support engineer position ensure effective integrated service assigned sites position responsible managing delivery day day aptiv operational support end end management minor enhancements working staff service provider resources site specific services include integrated applications hosting end user computing network security services position work closely onsite support lead maintaining effective working relationships local business clients site country region levels match ongoing business needs clients achieve higher degree client position support establishment execution performance management capability delivers right level client collaboration solve performance outages deliver required business capabilities responsibilities duties primary responsibilities position relate supporting critical hands delivery services locally assistance service providers responsible hands delivery services developing maintaining client relationships locally managing requests minor enhancements individual role responsible managing outcomes results improving overall delivery services enhancing clients ' use enabling technologies responsibilities position include support integrated services assigned sites working service providers resources end user support issues laptops software phones local support hosting needed servers storage routers directed understanding cloud based hosting ability troubleshoot communicate service providers resolution understand business unit overall business plans role site achieving objectives critical system site understand business requirements manage delivery services meet expectations work onsite support lead support strong collaborative supplier business working relationships ensure effective services engage strategic teams manage business client operational escalations associate responsibilities client business objectives site country region establish maintain regular communications business clients regarding local service activities support site incident management communication business leadership status reviews root cause analysis activities follow actions manage incident successful conclusion following performance management framework work supplier service management ensure service providers performing contractual deliverables sites assist service delivery manager managing service requests managed requests including request initiation requirements approval prioritization scheduling execution assist service delivery manager maintaining demand forecast service requests managed requests manage business escalations resolve operational issues incidents business client complaints prioritize services work within assigned sites keep working log top issues status ensure effective change management execution following itil framework aptiv standards processes including coordination local maintenance windows solution delivery scheduling considerations understand local regional legal requirements behalf client assist service delivery manager execution queries audit formal governance processes provide local support business continuity disaster recovery planning coordination testing activities requested work service providers effective problem management activities support teams local insights service delivery performance recommendations improvements execution agreed actions analyze metrics provided suppliers service delivery effectiveness required underlying contract client satisfaction surveys otherwise appropriate recommend improvement actions develop deploy local service improvements according global best practices align relevant services needs business work continuously improve quality cost services delivered
16125,Business Development Manager (ITI),"Account Management,Business Development,Business Planning,Business Strategy,CRM,Leadership,Management,Marketing,Marketing Strategy,Negotiation,New Business Development,Product Management,Project Management",opportunity part service delivery team serving diverse portfolio clients various industries work environment learn service industry job responsibilities offer services external clients mid size organizations responsible excellent clients service experience
16147,Software and Applications Developer,"Agile Methodologies,C#,C++,HTML,Integration,Java,JavaScript,jQuery,Linux,MySQL,PHP,Project Management,Scrum",1 analyse client needs building citizen centric products better serve needs singaporeans 2 self managing cross functional team practices scrum agile move fast together solve problems order maximize impact citizens thrive positivity energy constantly challenging one another improve craftsmanship 3 deliver deploy high quality software 4 write code clean consistent 5 practise test driven development tdd writing unit tests regression tests 6 collaborate closely specialists
16157,Inbound Growth Specialist,"Account Management,B2B,Business Development,Cold Calling,Customer Service,Direct Sales,Leadership,Management,Marketing,Marketing Strategy,Microsoft Office,Negotiation,New Business Development",seeks account executive inbound growth specialist call around join singapore branch highly successful sales team account executives responsible successfully selling value proposition inbound leads primarily phone target clients consist small mid size companies across apac region focus india assigned territories role need close new business consistently quota level become expert inbound marketing serve brand suite products solutions follow highly qualified inbound leads small mid sized companies build relationships prospects internal stake holders grow new business work collaboratively marketing technology departments execute sales strategy firm enhancements existing solutions releases new products bring thinking strategies ideas advance company values unique culture vision future
16158,"Senior Associate, Senior Developer, Middle Office Technology, Technology & Operations (WD04663)","Accounting,Auditing,Business Development,Business Strategy,Corporate Finance,Due Diligence,Finance,Financial Analysis,Financial Modeling,Financial Reporting,Investments,Leadership,Management",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels responsibilities creating complex enterprise transforming applications diverse high energy teams working latest tools techniques highly collaborative teams building quality code hands coding usually pair programming environment furnish business domain deeply working closely business stakeholders
16159,Developer .Net,".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",develop software using agile methodology work closely collaborate business analysts quality engineers user stories elaboration test automation bug fixes etc work devops team setting continuous integration build release automation responsible providing estimates stories sprint planning responsible converting acceptance criteria automated unit tests support production issues duty rotation office hours support champion agile technical practices test driven development pair programming refactoring involve application deployment
16165,Network & Security Specialist,"BGP,Cisco iOS,Cisco Technologies,Data Center,Disaster Recovery,Firewalls,Network Architecture,Network Design,Network Engineering,Network Security,Networking,Routers,Routing",responsibilities scope limited following configure install various network devices services e g routers switches firewalls load balancers vpn qos configuring maintaining layer 2 3 switches routers building switch stacks implement maintain security connectivity solutions including firewalls ids ips vpn ssl technology ad routing protocols bgp eigrp ospf perform configuration updates modifying configurations signature definitions implementing new policies network security tools directed perform network hardware maintenance system upgrades including service packs patches hot fixes security configurations coordinate many cases implement fixes patches configuration changes much discovered issues perform proactive maintenance upgrades enhancements customers performance advanced troubleshooting network connectivity issues involving security products firewall rules complex routing nat rules executive maintain security system management support procedures assigned systems liaise vendors personnel problem resolution reflect visualize network security strategy status managed customer cultivate advise advance security methodology standards managed customers implement security tools policies procedures conjunction customer 's network security team preferably certified 1 cisco certified network associate r 2 certified engineer 3 hpe data center network architect 4 hp architect 5 palo alto certified network security engineer 6 ccnp 7 acca 5 aruba associate
16167,Senior Web Developer  /  Team Lead (.Net  /  Java),"AJAX,C#,CSS,Git,HTML,HTML 5,Java,JavaScript,jQuery,JSON,Linux,MySQL,Photoshop",implement applications using microsoft technologies java j2ee n tier environment provide supports development projects throughout project life cycle understands technical functional design requirements assists physical logical database design creates prototypes client engagements designs codes tests technical solutions identifies system deficiencies recommends solutions contribute functional requirements translate technical design development projects document features technical specifications infrastructure requirements self produced technical work job processes seniors expected mentor guide junior developers mentoring junior web developers team lead supervising team developers taking charge career growth technical competencies review completed tasks ensure adherence standards perform ad hoc tasks given project manager project director
16170,Senior Full Stack Java developer,"Agile Methodologies,Ant,Eclipse,EJB,Hibernate,Java,Java Enterprise Edition,JavaScript,JBoss Application Server,JDBC,JSP,JUnit,Maven",hands experience java based web api development platforms transactional system e g banking payments ecommerce insurance 3 years experience designing developing restful api services using spring spring boot json xml open source frameworks 3 years experience oracle pl sql mandatory skill high end java full stack core java new libraries collection works collections etc experience stream processing using kafka test driven development expert knowledge unit testing mock virtualization frameworks junit testng soap ui similar tools tools jira confluence maven jenkins github hands experience experience agile methodology swift payments experience
16190,"Contract Staff (Senior), Release Specialist, EA-SRE (Site Reliability Engineering), T&O (WD04692)","Agile Methodologies,CSS,Customer Service,Databases,HTML,Integration,Java,JavaScript,Leadership,Linux,Management,Microsoft Office,MySQL",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels job purpose part exciting change operational team technology shared service organisation drives improvements bank delivers digital products services design implement deploy high availability automated tools application database servers private public cloud environment dev tech release ops engineer collaborates technical leadership development system engineers business stakeholders augment solutions meet operational goals high availability performance stability security cost efficiency key accountabilities building software systems manage infrastructure applications automation deployment support monitoring existing new services platforms application stacks supported within responsible software code promotion deployment activities across multiple platforms belonging application teams work engineering application development teams improve system performance environment upgrades improvements responsibilities act ensure build deployed production tested signed required perform problem solving root analysis errors process software development life cycle sdlc support 24 x 7 shift operations work flexible hours call respond appropriately requests ensure service level agreement met
16202,Windows 10 Deployment Administrator / Engineer,"Active Directory,Apache,Data Center,Disaster Recovery,DNS,Linux,Microsoft Exchange,MySQL,Network Administration,Networking,Operating Systems,Security,Servers",customer migrating locations globe windows 7 windows 10 part project customer requested windows 10 image specialist take care entire migration singapore office 1 necessary prior work experience windows administration windows migration patch management ability provide solutions clients 2 ability get applications packaged windows 10 standards security group policies created according iso standards 3 ability provide support business requests different phases project activity meeting timeline 4 ability work creating technical documents related project activities 5 daily weekly status reporting clients 6 coordinate work teams stakeholders different locations calls proactive towards initiatives process improvements
16211,Senior Application Developer - Lead / Senior Full Stack Developer,".NET,Agile Methodologies,ASP.NET,C#,CSS,Databases,HTML,Integration,Java,JavaScript,jQuery,Microsoft SQL Server,SDLC",us palo innovation agile development company design research devops business end end development breakthrough digital experiences community innovators developers also aim renewing way organizations operate promoting sustainable business agility user centricity open collaboration fun started paris 2009 offices singapore sydney hong kong bangkok mexico looking next superstar join exciting team singapore palo employees widgets center projects successes offer exciting creative working environment endless opportunities develop skills travel take career next level get touch find vision values aspire positively impact world empowering organisations harness power transformative technology greater good care world act courage share dna choose positivity deliver awesomeness profile role project thrive challenge last time fail curious always learning right deal constant change last surprised mastered least one skill trade defined teach us wear many hats use talents software development application architecture design thinking problem solving help create rapid prototypes enable rapid acceleration ideas also work closely project teams business stakeholders provide technical expertise enables innovation delivery individual tasks overall projects time high quality quality documentation ensuring projects pass internal audits reviews ensuring successful go lives minimal post go live issues post project implementation reviews alignment project deliverable measurable exit criteria projects team management mentoring succeed role need developed code several years using agile methodologies must also proven experience technical lead within scrum team
16212,Devops Engineer,"Agile Methodologies,Automation,Commissioning,Computer System Validation,Control Systems Design,Engineering,Instrumentation,Java,PLC,Process Automation,Process Control,QTP,Regression Testing",purpose role seeking devops engineer heavy focus automation network platform operations ideal candidate strong understanding challenges experienced operations engineering teams devops engineer identify pain points experienced teams implement tools mitigate successful candidate thrive fast paced independent self motivated demanding production environment delivers top quality services support many clients responsibilities duties include limited design develop change reporting monitoring tools relevant teams design develop applications support client facing products services integration applications platforms network infrastructure rapid development prototype tools clarify requirements collaborating department ensure tools created continue meet security policies standards providing necessary documentation training relevant users tools created team working relevant teams assess current state tool design process providing recommendations improvement continuous improvement via performance analysis optimization capacity management problem management defect management manage book work prioritizing projects tasks alignment team firm priorities
16214,Business Analyst - Factory Integration,"Analysis,Business Analysis,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,Data Analysis,Leadership,Management,Management Consulting,Microsoft Office,Process Improvement",new role performing data mining factory integration fi key applications etc potential correlation analysis optimize backend processes dedicated help benefit kpi monitor trigger process change impact segment performance kpi support data analytic conduct training data mining data analytics analyze historical data database performing data mining technique data visualization detection analysis work closely business key users optimize implement improvement project monitor implemented improvement share result biz user success implemented task rest roll site
16225,Systems Engineer,"Active Directory,Cloud Computing,Data Center,Disaster Recovery,Integration,Java,Linux,Management,Project Management,Security,Servers,Software Development,SQL",maintain support windows server 2008 2012 2016 environment configure manage support vmware vsphere esxi 5 5 6 0 6 5 6 7 manage maintain hyper v infrastructure implement configure manage support windows based infrastructure production
16226,Senior IT Specialist,"Active Directory,Agile Methodologies,Architecture,Cloud Computing,Enterprise Architecture,Integration,IT Management,IT Strategy,ITIL,Linux,Management,Networking,Requirements Analysis",job purpose support maintain technical applications services acting project lead towards local management teams system full reliability adherence current business processes supporting south pacific singapore malaysia thailand australia philippines india office stores main accountabilities south pacific singapore malaysia thailand australia philippines india office stores support strategic planning control proactively propose innovative solution improve efficiency effectiveness local business processes focus retail digital solution suggest immediate smart solutions applicable suggest actions service improvement south pacific regional responsibly works closely management prioritize needs meet business goals maintenance capability enhancement guarantee support training relevant systems collect emerging needs inputs manage lifecycle assets hardware software acquisition disposal locally deploy system hardware application upgrades requested corporate regional propose relevant improvements corporate regional support regional responsible define control relevant budget lead project lead implementation local application defined business support roll corporate projects traveling required base business needs estimate 25
16237,Firmware Developer,"ARM,C,C++,Debugging,Device Drivers,Electronics,Embedded C,Embedded Linux,Embedded Software,Embedded Systems,Firmware,Java,Linux",code development assembly c c responsible designing coding testing debugging evaluating documenting embedded software work closely product teams product management understand requirements translate elegant implementation peer reviews code design
16241,Software Architect,".NET,Agile Methodologies,Architecture,C#,C++,Distributed Systems,Java,JavaScript,Linux,MySQL,Scrum,SOA,Software Design",software architect analyse design develop troubleshoot debug software programs enterprise end user applications well writing code performs testing debugging applications role responsibilities familiar full software development life cycle project planning requirement definition analysis architecture analysis definition design implementation integration validation field test maintenance software manage customers project requirements worked product team provide c3 command control communication software solution customized meet specific project requirement interface system integration team si team overall charge entire project encompass system software solutions gather specific software requirement pertaining project work technical team identify gaps product project specific requirement estimate time effort work project schedule monitor project implementation progress keep track project status progress ensure timely completion project milestones
16245,Business Analyst,"Analysis,Business Analysis,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,Data Analysis,Leadership,Management,Management Consulting,Microsoft Office,Process Improvement",plans designs recommends business processes improve support business activities analyses documents client 's business requirements processes communicates requirements conceptual data process models including data volume estimates organization creates test scenarios develops test plans used testing business applications order verify client requirements incorporated system design assists analyzing testing results throughout project
16253,Junior Product manager,"Business Development,Business Strategy,Competitive Analysis,Cross-functional Team Leadership,E-commerce,Leadership,Management,Marketing,Marketing Strategy,Mobile Devices,New Business Development,Product Development,Product Management",chance create app medical industry looking junior product manager challenge someone excited working team skilled engineers create amazing backend scale someone interested streamlining workflow processes clinics making lives administrative staff clinics less complicated located heart town means surrounded restaurants challenge taste every day stone away best bars town competitive salary fund activities importantly friendly team comfortable workspace
16254,Software Engineer – Platform Engineering,"Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL",responsible design implementation paas platform high performance high availability high scalability open minded innovative solve challenging problems provide technical platform support fast growing business job description design development paas platform used numerous development teams write high quality clean elegant maintainable code understand technical platform constantly optimise service identify fix problems improve usability stability reliability design implement various supporting tools needed
16266,Marketing Executive Manager,"Advertising,Business Development,CRM,Digital Marketing,Email Marketing,Event Management,Management,Market Research,Marketing,Marketing Communications,Marketing Management,Marketing Strategy,New Business Development",developing growth marketing strategies plans devise strategies drive online traffic company website drive online offline sales analyse performance digital marketing campaigns utilise range techniques including paid advertisements via google wechat youtube gmail facebook etc attending events networking session conceptualize creative communication ideas write engaging copies target audience create graphic design digital animation different projects websites social media videos
16267,HTML Developer,".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",translation ui ux design wireframes actual codes produce visual elements application bridge gap graphical design technical implementation taking active role defining application look well looks ensure technical feasibility ui ux designs including optimize application maximum performance speed scalability part agile project members work along ui designers product users business users web developers vendors deliver finished applications able provide ui ux design produce design assets needed drive create compelling user interfaces experience well build interfaces focus usability features build reusable codes libraries future use ensuring user inputs validated submitting server end ensure delivered codes high standards quality well compliance security requirements maintain delivered codes provide level 2 3 support necessary
16286,Mobile App Developer,".NET,Agile Methodologies,ASP.NET,C#,C++,CSS,Databases,HTML,Java,JavaScript,jQuery,Microsoft SQL Server,MySQL",1 responsible company 's mobile product research development optimization maintenance 2 participate discussion formulation design technical plan core system 3 communicate product manager understand requirements
16287,Required MYSQL Database Admin,"Access,Business Analysis,Business Intelligence,Data Analysis,Database Design,Databases,HTML,Integration,Management,Microsoft Excel,Microsoft SQL Server,Process Improvement,Program Management",contract duration 6 months extendable setup mysql group replication multi master update anywhere replication mysql built conflict detection resolution automatic distributed recovery group membership setup mysql router database application user connections based load balancing policy without implementing custom application code implement mysql enterprise backup restore method mysql databases backup databases automated time schedule verifying parallel server confirmation make sure backup file point time performs ongoing tuning database instances install new versions mssql mysql rdbms tools tools access database resolving documenting issues consideration related updating products multiple locations maintaining standard data recovery processes improve time patching existing versions database related software procedures ensure database service meet service level agreements stay updated latest developments database services technologies implementing security features protect secure database systems set user access level privileges permissions database segments
16305,UI / UX Designer,".NET,Agile Methodologies,C,C#,C++,CSS,HTML,Java,JavaScript,jQuery,Linux,Microsoft SQL Server,MySQL",understand product specifications user psychology conduct concept usability testing gather feedback create personas user research data define right interaction model evaluate success develop wireframes prototypes around customer needs find creative ways solve ux problems e g usability work ui designers implement attractive designs communicate design ideas prototypes developers keep abreast competitor products industry trends
16310,Sr. SW Engineer,"C,C++,Embedded Systems,Engineering,Engineering Management,Integration,Java,JavaScript,Linux,Management,Manufacturing,Product Development,Program Management",cloud platform infrastructure automation team responsible building visa private cloud platform automate infrastructure deployment provisioning tools developers infrastructure teams visa use deploy run code mission make easy developers infrastructure teams provision environments dev test prod deploy systems monitor auto scale applications security one focus visa inc team additionally responsible make sure keep visa servers free vulnerabilities role self motivated individual software engineering skills expertise open systems technologies responsibilities develop new user facing features private cloud vulnerability management applications build reusable code libraries future use partner internal external stakeholders understand business problems design develop required solutions partner architects ensure developed solutions adhere established best patterns architectural target state provide rotational call support problem analysis resolution scheduled required responsible driving security patching vulnerability management visa inc
16324,Software Engineer,"Agile Methodologies,C,C#,C++,CSS,Eclipse,Git,HTML,Java,JavaScript,jQuery,Linux,MySQL",work closely stakeholders gather requirements design develop maintain business rules using methodologies based requirements specified user stories using technology stack agreed engineering practices work closely collaborate team test automation bug fixes etc provide system documentation ensure proper version control change management programs provide operational maintenance support non production environments conduct testing software patches upgrades
16326,Project Officer IT Security Audit Officer,"Auditing,Business Continuity,Business Process,CISA,COBIT,Disaster Recovery,Enterprise Risk Management,Governance,Information Security,Information Security Management,Information Technology,Internal Audit,Internal Controls",job description project officer security audit officer responsible assist department managing planning ict audit related activities projects coordinate manage internal external audits stakeholders ensure audit works completed satisfactorily within project timeline assist collecting required audit works assigned assist manage vendors involved ict audits clarifications audit works assist department ensure system owners project managers staff aware accountable systems compliance relevant security policies
16327,"AVP, Application Development Lead, IBGT, T&O (WD04429)","Banking,Business Analysis,Business Development,Capital Markets,Credit,Equities,Finance,Financial Analysis,Investment Banking,Investments,Leadership,Loans,Management",business function group technology operations enables empowers bank efficient nimble resilient infrastructure strategic focus productivity quality control technology people capability innovation group manage majority bank 's operational processes inspire delight business partners multiple banking delivery channels job purpose application development lead gts channels systems responsible lead house application development delivery team handle end end analysis design development testing deployment application build enhancements responsibilities collaborate various stakeholders development sme developers business analysts test leads design develop test applications adhere high quality development principles delivering solutions time responsible analyse user requirements design development software packages release deployments prepare document release notes enhancements checklists project documentations etc troubleshoot resolve technical application matters
16328,"Executive, System Applications","Active Directory,Apache,Data Center,Disaster Recovery,DNS,Linux,Microsoft Exchange,MySQL,Network Administration,Networking,Operating Systems,Security,Servers",responsibilities participate new systems implementation maintain support existing applications align systems business objectives ensure deliverables within scope budget schedule responsible user support troubleshooting one system applications assist current potential application users identifying describing problems opportunities might addressed either implementing new automated manual system changing existing application system provide back support applications members department
16342,Network Engineer,"Active Directory,CCNA,Cisco Technologies,Data Center,Disaster Recovery,Firewalls,Network Administration,Network Design,Network Engineering,Network Security,Networking,Routers,Routing",apac network engineer responsible network infrastructure within apac region include responsibility 2nd 3rd level support technical design deployment successful applicant ensure exceptional support service goal meeting agreed service levels expectations business partners clients specialist engineer develop strong relationships teams vendors business partners across global regions ensure entire apac network infrastructure functional reliable available maintainable performing secure meets audit requirements responsibilities role focused delivering appropriate quality service solutions data center network apac participate comply management processes including incident request problem change capacity availability documentation services asset management asset compliance financial transparency provide 2nd level incident support apac data network infrastructure deploy network solutions based global standard branch data center network
16350,Business Analyst,"Analysis,Business Analysis,Business Intelligence,Business Process,Business Process Improvement,Business Strategy,Change Management,Data Analysis,Leadership,Management,Management Consulting,Microsoft Office,Process Improvement",air cargo industry mission overall purpose analyse customer requirements ensure products portfolio satisfy business needs customer position based offices singapore reports product manager airline major accountabilities role require frequent overseas travel position holder required work away singapore office extended accountable accomplishment following tasks responsibilities apply business knowledge analyse external internal requirements define solutions provided suitable technical application combination applications review document customer existing business processes consideration requirements review discuss document business process changes support identified requirements fully document functional technical solutions obtain customer approval prior technical development ensure updated system support documentation produced time implementation provide business functional support technical team development test programs completion ensure compliance specification support existing customer migrations new customer implementations new systems enhancements business information providing consultancy demonstrations support training required individual basis customer meetings forums investigate operational problems identify causes support testing implementation corrections build maintain test libraries support manual automated regression testing provide expert product support demonstrations sales force required duties assigned management
